Source IP,Destination IP,Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Fwd Header Length,Bwd Header Length,Init_Win_bytes_forward,Init_Win_bytes_backward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
10.20.32.198,13.107.21.239,62747,443,<member 'name' of 'Packet' objects>,0.013532876968383789,1,1,55,66,55,55,55.0,0.0,66,66,66.0,0.0,8941.18821021476,147.7882348795828,0.013532876968383789,0.0,0.013532876968383789,0.013532876968383789,0.0,0.0,0.0,0.0,0.0,0.013532876968383789,0.013532876968383789,0.0,0.013532876968383789,0.013532876968383789,0,0,0,0,2,0,0,0,41,52,512,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,172.16.16.16,62755,9090,<member 'name' of 'Packet' objects>,8.01338791847229,2,0,132,0,66,66,66.0,0.0,0,0,0.0,0.0,16.472433550323508,0.24958232652005313,8.01338791847229,0.0,8.01338791847229,8.01338791847229,8.01338791847229,8.01338791847229,0.0,8.01338791847229,8.01338791847229,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,104,0,64240,0,2.0,0.0,2.0,2.0,8.01338791847229,0.0,8.01338791847229,8.01338791847229
10.20.32.198,172.16.16.16,62756,9090,<member 'name' of 'Packet' objects>,8.013740062713623,2,0,132,0,66,66,66.0,0.0,0,0,0.0,0.0,16.471709709448948,0.24957135923407495,8.013740062713623,0.0,8.013740062713623,8.013740062713623,8.013740062713623,8.013740062713623,0.0,8.013740062713623,8.013740062713623,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,104,0,64240,0,2.0,0.0,2.0,2.0,8.013740062713623,0.0,8.013740062713623,8.013740062713623
10.20.32.198,34.36.57.103,61999,443,<member 'name' of 'Packet' objects>,0.047943115234375,1,1,55,66,55,55,55.0,0.0,66,66,66.0,0.0,2523.8243157224697,41.716104392106935,0.047943115234375,0.0,0.047943115234375,0.047943115234375,0.0,0.0,0.0,0.0,0.0,0.047943115234375,0.047943115234375,0.0,0.047943115234375,0.047943115234375,0,0,0,0,2,0,0,0,41,52,507,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,104.18.32.47,62540,443,<member 'name' of 'Packet' objects>,0.19113588333129883,3,3,162,213,54,54,54.0,0.0,93,60,71.0,15.556349186104045,1961.954989634294,31.3912798341487,0.038227176666259764,0.07145885717808784,0.18114209175109863,0.001992940902709961,0.007989883422851562,0.002663294474283854,0.00047401164619243874,0.002998828887939453,0.001992940902709961,0.18314599990844727,0.09157299995422363,0.089569091796875,0.18114209175109863,0.002003908157348633,3,0,0,1,6,0,0,0,120,171,0,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.33.59,255.255.255.255,68,67,<member 'name' of 'Packet' objects>,0.0,1,0,342,0,342,342,342.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,328,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,20.189.173.27,62748,443,<member 'name' of 'Packet' objects>,8.347938060760498,13,10,10796,885,1494,66,830.4615384615385,638.371559924712,153,60,88.5,42.26168477474602,1399.267689216163,2.7551713767632697,0.3794517300345681,1.4494194911419316,7.003000020980835,0.0010018348693847656,7.432623863220215,0.6193853219350179,1.927999450312481,7.003000020980835,0.0010190010070800781,0.9153141975402832,0.09153141975402831,0.09591130840355097,0.2614760398864746,0.0010018348693847656,0,0,0,10,23,0,0,0,10614,745,513,0,2.0,0.0,2.0,2.0,7.003000020980835,0.0,7.003000020980835,7.003000020980835
10.20.32.172,255.255.255.255,68,67,<member 'name' of 'Packet' objects>,0.0,1,0,346,0,346,346,346.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,332,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,142.250.183.241,62728,443,<member 'name' of 'Packet' objects>,0.023723125457763672,1,1,55,66,55,55,55.0,0.0,66,66,66.0,0.0,5100.508371691021,84.30592349902514,0.023723125457763672,0.0,0.023723125457763672,0.023723125457763672,0.0,0.0,0.0,0.0,0.0,0.023723125457763672,0.023723125457763672,0.0,0.023723125457763672,0.023723125457763672,0,0,0,0,2,0,0,0,41,52,508,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0.0.0,255.255.255.255,68,67,<member 'name' of 'Packet' objects>,21.60508418083191,9,0,3170,0,366,342,352.22222222222223,9.064923579720507,0,0,0.0,0.0,146.72472337841816,0.4165686152699569,2.7006355226039886,1.9285576887378992,5.528461933135986,0.0043621063232421875,21.60508418083191,2.7006355226039886,1.9285576887378992,5.528461933135986,0.0043621063232421875,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3044,0,0,0,2.0,0.0,2.0,2.0,4.06964898109436,0.9307706368814389,5.528461933135986,2.7638258934020996
