Source IP,Destination IP,Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Fwd Header Length,Bwd Header Length,Init_Win_bytes_forward,Init_Win_bytes_backward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
10.20.16.57,255.255.255.255,68,67,<member 'name' of 'Packet' objects>,0.0,1,0,342,0,342,342,342.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,328,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,54.250.81.247,50097,443,<member 'name' of 'Packet' objects>,0.1121358871459961,1,1,55,60,55,55,55.0,0.0,60,60,60.0,0.0,1025.5414473180647,17.835503431618516,0.1121358871459961,0.0,0.1121358871459961,0.1121358871459961,0.0,0.0,0.0,0.0,0.0,0.1121358871459961,0.1121358871459961,0.0,0.1121358871459961,0.1121358871459961,0,0,0,0,2,0,0,0,41,46,513,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,13.107.226.254,50221,443,<member 'name' of 'Packet' objects>,0.007001161575317383,1,1,55,60,55,55,55.0,0.0,60,60,60.0,0.0,16425.8457347182,285.66688234292525,0.007001161575317383,0.0,0.007001161575317383,0.007001161575317383,0.0,0.0,0.0,0.0,0.0,0.007001161575317383,0.007001161575317383,0.0,0.007001161575317383,0.007001161575317383,0,0,0,0,2,0,0,0,41,46,506,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0.0.0,255.255.255.255,68,67,<member 'name' of 'Packet' objects>,6.713225841522217,10,0,3442,0,364,326,344.2,9.4424573072903,0,0,0.0,0.0,512.7192323414417,1.489596840039052,0.7459139823913574,0.5417623547827773,1.8566181659698486,0.10344386100769043,6.713225841522217,0.7459139823913574,0.5417623547827773,1.8566181659698486,0.10344386100769043,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3302,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.29.180,255.255.255.255,68,67,<member 'name' of 'Packet' objects>,0.0,1,0,338,0,338,338,338.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,324,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.0,255.255.255.255,68,67,<member 'name' of 'Packet' objects>,0.0,1,0,348,0,348,348,348.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,334,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.31.214,255.255.255.255,68,67,<member 'name' of 'Packet' objects>,0.0,1,0,358,0,358,358,358.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,344,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,20.189.173.16,50151,443,<member 'name' of 'Packet' objects>,0.2621629238128662,8,4,9017,328,1494,54,1127.125,588.9009758652129,148,60,82.0,38.1051177665153,35645.77272822349,45.7730628933849,0.023832993073896927,0.051947690022348655,0.1846020221710205,0.0030059814453125,0.06655669212341309,0.009508098874773298,0.01298657919748247,0.041307926177978516,0.00399017333984375,0.19560623168945312,0.04890155792236328,0.0783477486586424,0.1846020221710205,0.0030059814453125,0,0,0,3,12,0,0,0,8905,272,516,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.23.192,255.255.255.255,68,67,<member 'name' of 'Packet' objects>,0.0,1,0,358,0,358,358,358.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,344,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.31.228,255.255.255.255,68,67,<member 'name' of 'Packet' objects>,0.0,1,0,342,0,342,342,342.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,328,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
